"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-06-06 ~ 2025-06-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"98","광주광역시 북구 일곡동","848-1","0848","0001","현대2","59.3600","202505","31","15,300","-","8","개인","개인","1998","일곡마을로 55","-","중개거래","광주 북구","-"
"99","광주광역시 남구 진월동","277","0277","0000","한신2","59.9800","202505","31","17,300","-","14","개인","개인","1997","서문대로701번길 21","-","중개거래","광주 남구","-"
"100","광주광역시 북구 매곡동","493","0493","0000","매곡동해광샹그릴라","49.6513","202505","31","12,000","-","4","개인","개인","2014","매곡로69번길 13","-","중개거래","광주 북구","-"
"101","광주광역시 북구 문흥동","1010-2","1010","0002","일신","59.9900","202505","31","11,200","-","18","개인","개인","1994","대천로 124-4","-","중개거래","광주 북구","-"
"102","광주광역시 동구 산수동","723","0723","0000","무등산그린웰로제비앙","64.5262","202505","31","37,700","-","11","개인","개인","2019","동계로 38","-","중개거래","광주 동구","-"
"103","광주광역시 북구 용두동","1120","1120","0000","우방아이유쉘아파트","84.9712","202505","31","40,000","-","18","개인","개인","2018","하서로423번길 42","-","중개거래","광주 북구","-"
"104","광주광역시 광산구 운남동","771-1","0771","0001","운남주공4단지","59.7600","202505","31","17,500","-","18","개인","개인","1996","목련로273번안길 30","-","중개거래","광주 광산구","-"
"105","광주광역시 북구 양산동","288-15","0288","0015","호반","37.8300","202505","31","7,100","-","2","개인","개인","1997","연양로28번길 27","-","중개거래","광주 북구","-"
"106","광주광역시 북구 신용동","549","0549","0000","첨단자이1단지","137.3914","202505","31","56,000","-","1","개인","개인","2010","임방울대로1042번길 14-1","-","중개거래","광주 북구","-"
"107","광주광역시 광산구 장덕동","1110","1110","0000","신안실크밸리","84.9129","202505","31","44,500","-","8","개인","개인","2009","풍영로330번길 34","-","중개거래","광주 광산구","-"
"108","광주광역시 북구 신용동","643-1","0643","0001","용두주공","59.9900","202505","31","15,250","-","7","개인","개인","1998","임방울대로1041번길 15","-","중개거래","광주 북구","-"
"109","광주광역시 광산구 장덕동","1109","1109","0000","양우내안애","84.9423","202505","31","34,300","-","3","개인","개인","2008","풍영로330번길 16","-","중개거래","광주 광산구","-"
"110","광주광역시 광산구 선암동","782","0782","0000","선운지구진아리채","78.0887","202505","31","30,500","-","2","개인","개인","2014","선운로 33","-","중개거래","광주 광산구","-"
"111","광주광역시 북구 양산동","930","0930","0000","지에스그린자이2차","84.9662","202505","31","32,200","-","16","개인","개인","2006","양산택지로34번길 22","-","중개거래","광주 북구","-"
"112","광주광역시 광산구 장덕동","1110","1110","0000","신안실크밸리","84.9612","202505","31","36,500","-","12","개인","개인","2009","풍영로330번길 34","-","중개거래","광주 광산구","-"
