dong,area,price
광주광역시 남구 주월동,59.6308,15500
광주광역시 남구 봉선동,59.89,41000
광주광역시 북구 삼각동,84.99,19500
광주광역시 북구 문흥동,45.77,10000
광주광역시 광산구 우산동,59.67,11100
광주광역시 광산구 수완동,116.27,90000
광주광역시 북구 신용동,59.99,13500
광주광역시 광산구 장덕동,84.967,40000
광주광역시 광산구 쌍암동,32.3203,7100
광주광역시 광산구 흑석동,84.7615,40500
광주광역시 북구 양산동,37.83,9000
광주광역시 북구 용두동,84.9821,41000
광주광역시 광산구 운남동,49.54,11800
광주광역시 광산구 장덕동,59.9817,32000
광주광역시 광산구 운남동,58.14,9500
광주광역시 북구 연제동,59.91,8200
광주광역시 북구 연제동,84.9996,24000
광주광역시 북구 신용동,84.984,51800
광주광역시 광산구 소촌동,50.85,8400
광주광역시 북구 신용동,60.4624,23500
광주광역시 광산구 장덕동,129.084,78000
광주광역시 광산구 장덕동,84.9649,49500
광주광역시 광산구 신가동,84.6347,54000
광주광역시 광산구 월곡동,59.78,14200
광주광역시 광산구 운남동,59.41,19300
광주광역시 광산구 운남동,39.9,8700
광주광역시 광산구 송정동,84.5844,27000
광주광역시 북구 신용동,59.99,13800
광주광역시 광산구 월계동,76.5,22500
광주광역시 광산구 송정동,76.447,33000
광주광역시 광산구 우산동,84.9629,41000
광주광역시 북구 용봉동,84.8797,27500
광주광역시 남구 진월동,84.87,18000
광주광역시 서구 금호동,84.9831,28400
광주광역시 서구 금호동,84.994,24800
광주광역시 남구 주월동,41.4092,7500
광주광역시 남구 방림동,61.5023,34500
광주광역시 서구 내방동,59.19,16900
광주광역시 북구 문흥동,59.965,12500
광주광역시 북구 문흥동,59.965,15300
광주광역시 서구 유촌동,59.97,18550
광주광역시 북구 우산동,59.9883,36000
광주광역시 남구 지석동,84.9892,40000
광주광역시 서구 화정동,92.01,19500
광주광역시 서구 화정동,76.9612,59000
광주광역시 남구 봉선동,59.918,13000
광주광역시 남구 봉선동,84.73,18500
광주광역시 남구 봉선동,84.73,18500
광주광역시 남구 봉선동,84.968,80500
광주광역시 북구 일곡동,48.45,9500
광주광역시 동구 소태동,73.8853,36300
광주광역시 북구 일곡동,48.45,9250
광주광역시 북구 매곡동,80.3123,28000
광주광역시 북구 동림동,84.93,16500
광주광역시 북구 운암동,120.6054,45500
광주광역시 북구 우산동,68.77,10100
광주광역시 북구 각화동,84.745,40000
광주광역시 서구 화정동,49.14,12200
광주광역시 서구 화정동,53.46,14000
광주광역시 북구 운암동,74.99,30700
광주광역시 서구 화정동,76.9612,59200
광주광역시 북구 각화동,59.9987,29500
광주광역시 남구 주월동,84.63,14700
광주광역시 남구 방림동,59.96,12700
광주광역시 북구 운암동,84.8269,36000
광주광역시 북구 동림동,84.6815,41500
광주광역시 서구 금호동,59.99,18800
광주광역시 남구 봉선동,155.4494,129000
광주광역시 남구 봉선동,84.9381,42000
광주광역시 동구 산수동,74.1309,30000
광주광역시 광산구 운수동,59.88,10300
광주광역시 북구 연제동,59.95,9300
광주광역시 광산구 쌍암동,76.9179,40000
광주광역시 광산구 산정동,59.9451,21900
광주광역시 광산구 신창동,59.748,20900
광주광역시 북구 신용동,84.2363,51600
광주광역시 광산구 장덕동,84.9129,37000
광주광역시 광산구 운남동,59.7699,27850
광주광역시 광산구 신창동,59.748,22000
광주광역시 광산구 우산동,78.38,13000
광주광역시 광산구 우산동,75.18,14800
광주광역시 광산구 소촌동,84.9245,39700
광주광역시 광산구 하남동,84.8198,28900
광주광역시 광산구 하남동,36.8863,12000
광주광역시 광산구 흑석동,84.9684,45000
광주광역시 광산구 산월동,83.7154,29900
광주광역시 광산구 소촌동,59.7128,13000
광주광역시 광산구 신가동,68.7848,35000
광주광역시 광산구 신가동,84.6347,52500
광주광역시 광산구 쌍암동,84.95,58000
광주광역시 광산구 장덕동,156.5054,100000
광주광역시 광산구 운남동,49.69,11250
광주광역시 북구 신용동,84.9697,45000
광주광역시 북구 신용동,84.9419,51300
광주광역시 광산구 선암동,79.9337,33000
광주광역시 북구 용두동,84.9821,44000
광주광역시 광산구 장덕동,84.9401,47000
광주광역시 광산구 장덕동,84.9871,47200
광주광역시 광산구 장덕동,84.2801,38000
광주광역시 광산구 수완동,123.38,81500
광주광역시 북구 운암동,81.2155,45500
광주광역시 북구 운암동,58.7079,27400
광주광역시 남구 방림동,59.9,29000
광주광역시 남구 월산동,84.8942,37900
광주광역시 북구 문흥동,59.97,11450
광주광역시 북구 삼각동,84.53,18600
광주광역시 남구 백운동,84.9959,42000
광주광역시 남구 양림동,75.77,28500
광주광역시 서구 화정동,84.96,55000
광주광역시 북구 용봉동,59.76,13000
광주광역시 북구 용봉동,84.8097,39400
광주광역시 북구 용봉동,84.8097,39500
광주광역시 북구 유동,84.7468,46500
광주광역시 서구 금호동,59.55,16400
광주광역시 남구 임암동,84.9948,45500
광주광역시 남구 임암동,84.9948,45500
광주광역시 동구 계림동,84.5628,45000
광주광역시 남구 진월동,84.99,19000
광주광역시 동구 소태동,59.9834,35000
광주광역시 동구 용산동,76.5319,36700
광주광역시 동구 용산동,106.6583,55000
광주광역시 서구 풍암동,84.601,33500
광주광역시 서구 풍암동,59.95,13600
광주광역시 동구 월남동,59.9963,22300
광주광역시 북구 우산동,84.9596,67000
광주광역시 북구 두암동,60,9000
광주광역시 북구 일곡동,49.94,14500
광주광역시 북구 일곡동,99.86,30300
광주광역시 북구 운암동,76.9005,21000
광주광역시 북구 운암동,59.99,26000
광주광역시 북구 각화동,84.745,38500
광주광역시 북구 삼각동,84.51,20000
광주광역시 북구 동림동,76.4501,40500
광주광역시 북구 용봉동,84.8857,41500
광주광역시 북구 일곡동,48.45,11000
광주광역시 서구 금호동,84.7555,31000
광주광역시 서구 화정동,59.85,16100
광주광역시 서구 내방동,33.08,6200
광주광역시 북구 매곡동,84.8492,25300
광주광역시 북구 문흥동,45.77,8700
광주광역시 서구 유촌동,59.85,18000
광주광역시 동구 산수동,84.9817,32500
광주광역시 북구 일곡동,48.45,11500
광주광역시 서구 금호동,39.792,12000
광주광역시 북구 운암동,84.975,16500
광주광역시 북구 운암동,76.9005,21500
광주광역시 서구 동천동,84.858,45000
광주광역시 북구 일곡동,59.915,15500
광주광역시 서구 농성동,83.68,15900
광주광역시 동구 월남동,78.2705,26700
광주광역시 남구 행암동,84.98,31000
광주광역시 북구 동림동,59.99,14300
광주광역시 북구 본촌동,111.94,42000
광주광역시 남구 진월동,59.76,16000
광주광역시 광산구 수완동,79.8427,56000
광주광역시 광산구 산정동,84.8198,28900
광주광역시 북구 신용동,59.99,17300
광주광역시 북구 양산동,84.9993,34300
광주광역시 광산구 장덕동,79.1518,42000
광주광역시 광산구 신창동,84.9882,43500
광주광역시 광산구 신창동,84.6799,36000
광주광역시 북구 연제동,42.51,6850
광주광역시 광산구 산월동,84.9763,27200
광주광역시 광산구 수완동,84.9626,47000
광주광역시 광산구 우산동,49.86,9500
광주광역시 광산구 소촌동,59.965,11600
광주광역시 광산구 신가동,84.8894,46500
광주광역시 광산구 송정동,59.91,10000
광주광역시 광산구 산정동,84.8198,27000
광주광역시 광산구 월계동,59.95,20000
광주광역시 광산구 월계동,59.997,19000
광주광역시 광산구 우산동,49.14,11000
광주광역시 광산구 운남동,84.77,22800
광주광역시 광산구 운남동,59.91,15250
광주광역시 광산구 신가동,84.8832,59500
광주광역시 광산구 월곡동,84.51,17500
광주광역시 광산구 수완동,84.9331,57000
광주광역시 북구 신용동,84.9893,42700
광주광역시 광산구 우산동,59.96,9000
광주광역시 광산구 소촌동,84.9216,41880
광주광역시 광산구 하남동,84.9966,38700
광주광역시 광산구 도산동,39.69,7500
광주광역시 광산구 소촌동,84.9216,43000
